Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

09:15:15 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:15:55 PM     0      1495    0.03    0.00    0.00    0.00    0.03     2  systemd-journal
09:15:55 PM   111    129814   15.40    5.10    0.00    0.00   20.50     4  netdata
09:15:55 PM   111    130182    0.07    0.07    0.00    0.00    0.15     2  bash
09:15:55 PM   111    130206    0.00    0.00    0.00    0.00    0.00     3  otel-plugin
09:15:55 PM  1000    130441    0.20    0.00    0.00    0.00    0.20     2  ssh
09:15:55 PM  1000    130442    0.00    0.00    0.00    0.00    0.00     1  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.03    0.00    0.00    0.00    0.03     -  systemd-journal
Average:      111    129814   15.40    5.10    0.00    0.00   20.50     -  netdata
Average:      111    130182    0.07    0.07    0.00    0.00    0.15     -  bash
Average:      111    130206    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    130441    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    130442    0.00    0.00    0.00    0.00    0.00     -  sh
