Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

08:50:13 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:50:53 PM     0      1495    0.00    0.00    0.00    0.00    0.00     0  systemd-journal
08:50:53 PM   111     97506    0.20    0.45    0.00    0.00    0.65     1  netdata
08:50:53 PM   111     97878    0.03    0.12    0.00    0.00    0.15     4  bash
08:50:53 PM   111     97902    0.00    0.00    0.00    0.00    0.00     3  otel-plugin
08:50:53 PM  1000     98123    0.20    0.00    0.00    0.00    0.20     2  ssh
08:50:53 PM  1000     98124    0.00    0.00    0.00    0.00    0.00     4  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111     97506    0.20    0.45    0.00    0.00    0.65     -  netdata
Average:      111     97878    0.03    0.12    0.00    0.00    0.15     -  bash
Average:      111     97902    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000     98123    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000     98124    0.00    0.00    0.00    0.00    0.00     -  sh
