Linux 6.8.12+ (sendai) 	11/28/2025 	_x86_64_	(6 CPU)

04:37:36 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:38:16 PM     0      9965    0.07    0.15    0.00    0.00    0.22     5  systemd-journal
04:38:16 PM   111    300772    2.15    1.68    0.00    0.00    3.82     0  netdata
04:38:16 PM   111    301143    0.05    0.10    0.00    0.00    0.15     1  bash
04:38:16 PM   111    301164    0.12    0.05    0.00    0.00    0.18     0  go.d.plugin
04:38:16 PM   111    301168    0.00    0.00    0.00    0.00    0.00     4  otel-plugin
04:38:16 PM  1000    301350    0.18    0.00    0.00    0.00    0.18     2  ssh
04:38:16 PM  1000    301351    0.00    0.00    0.00    0.00    0.00     0  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.07    0.15    0.00    0.00    0.22     -  systemd-journal
Average:      111    300772    2.15    1.68    0.00    0.00    3.82     -  netdata
Average:      111    301143    0.05    0.10    0.00    0.00    0.15     -  bash
Average:      111    301164    0.12    0.05    0.00    0.00    0.18     -  go.d.plugin
Average:      111    301168    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    301350    0.18    0.00    0.00    0.00    0.18     -  ssh
Average:     1000    301351    0.00    0.00    0.00    0.00    0.00     -  sh
