2025/11/13-06:05:23.728849,1763013923.725229094,3620
2025/11/13-06:05:24.732845,1763013924.729673509,3172
2025/11/13-06:05:25.734861,1763013925.733013592,1847
2025/11/13-06:05:26.738846,1763013926.735044365,3802
2025/11/13-06:05:27.741856,1763013927.739050840,2805
2025/11/13-06:05:28.744849,1763013928.742022278,2827
2025/11/13-06:05:29.748850,1763013929.745017841,3832
2025/11/13-06:05:30.752850,1763013930.749019730,3831
2025/11/13-06:05:31.756846,1763013931.753028287,3818
2025/11/13-06:05:32.760847,1763013932.757018869,3828
2025/11/13-06:05:33.764848,1763013933.761023821,3824
2025/11/13-06:05:34.765303,1763013934.765025428,278
2025/11/13-06:05:35.765742,1763013935.765462685,279
2025/11/13-06:05:36.766202,1763013936.765919669,282
2025/11/13-06:05:37.766649,1763013937.766368253,281
2025/11/13-06:05:38.767121,1763013938.766833582,287
2025/11/13-06:05:39.767562,1763013939.767277879,284
2025/11/13-06:05:40.767995,1763013940.767718996,276
2025/11/13-06:05:41.768459,1763013941.768160743,298
2025/11/13-06:05:42.768914,1763013942.768618960,295
2025/11/13-06:05:43.769356,1763013943.769067640,288
2025/11/13-06:05:44.769787,1763013944.769510167,277
2025/11/13-06:05:45.770210,1763013945.769932725,277
2025/11/13-06:05:46.770655,1763013946.770379520,275
2025/11/13-06:05:47.771110,1763013947.770824778,285
2025/11/13-06:05:48.771565,1763013948.771280843,284
2025/11/13-06:05:49.772030,1763013949.771746474,283
2025/11/13-06:05:50.772472,1763013950.772189764,282
2025/11/13-06:05:51.772913,1763013951.772626702,286
2025/11/13-06:05:52.773361,1763013952.773080610,280
2025/11/13-06:05:53.773802,1763013953.773518601,283
2025/11/13-06:05:54.774196,1763013954.773916715,279
2025/11/13-06:05:55.774631,1763013955.774359594,271
2025/11/13-06:05:56.775078,1763013956.774790912,287
2025/11/13-06:05:57.775524,1763013957.775234100,290
2025/11/13-06:05:58.775958,1763013958.775684590,273
2025/11/13-06:05:59.776409,1763013959.776118826,290
2025/11/13-06:06:00.776866,1763013960.776592681,273
2025/11/13-06:06:01.777340,1763013961.777035185,305
2025/11/13-06:06:02.777790,1763013962.777496675,293
2025/11/13-06:06:03.778240,1763013963.777953702,287
2025/11/13-06:06:04.778686,1763013964.778409348,277
2025/11/13-06:06:05.779135,1763013965.778860069,275
2025/11/13-06:06:06.779604,1763013966.779320199,284
2025/11/13-06:06:07.780053,1763013967.779762931,290
2025/11/13-06:06:08.780498,1763013968.780210493,287
2025/11/13-06:06:09.780942,1763013969.780661978,280
2025/11/13-06:06:10.781387,1763013970.781113433,273
2025/11/13-06:06:11.781854,1763013971.781560937,293
2025/11/13-06:06:12.782287,1763013972.782005963,281
2025/11/13-06:06:13.782721,1763013973.782449095,272
2025/11/13-06:06:14.783171,1763013974.782894638,277
2025/11/13-06:06:15.783610,1763013975.783329391,280
2025/11/13-06:06:16.784044,1763013976.783768301,276
2025/11/13-06:06:17.784508,1763013977.784220216,288
2025/11/13-06:06:18.785008,1763013978.784701515,307
2025/11/13-06:06:19.785489,1763013979.785179842,309
2025/11/13-06:06:20.785931,1763013980.785647876,283
2025/11/13-06:06:21.786416,1763013981.786113873,302
2025/11/13-06:06:22.786875,1763013982.786586928,289
