Linux 6.8.12+ (sendai) 	11/07/2025 	_x86_64_	(6 CPU)

12:36:25 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:37:05 AM     0   1946633    0.00    0.03    0.00    0.00    0.03     2  systemd-journal
12:37:05 AM   111   2925517    3.30    1.62    0.00    0.62    4.92     0  netdata
12:37:05 AM  1000   2925518    0.20    0.00    0.00    0.00    0.20     3  ssh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0   1946633    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111   2925517    3.30    1.62    0.00    0.62    4.92     -  netdata
Average:     1000   2925518    0.20    0.00    0.00    0.00    0.20     -  ssh
