Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

08:58:53 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:59:33 PM     0      1495    0.00    0.03    0.00    0.00    0.03     0  systemd-journal
08:59:33 PM   111    108526    0.35    0.27    0.00    0.00    0.62     2  netdata
08:59:33 PM   111    108906    0.05    0.12    0.00    0.00    0.18     3  bash
08:59:33 PM   111    108923    0.00    0.00    0.00    0.00    0.00     4  otel-plugin
08:59:33 PM  1000    109145    0.20    0.00    0.00    0.00    0.20     0  ssh
08:59:33 PM  1000    109146    0.00    0.00    0.00    0.00    0.00     2  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    108526    0.35    0.27    0.00    0.00    0.62     -  netdata
Average:      111    108906    0.05    0.12    0.00    0.00    0.18     -  bash
Average:      111    108923    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    109145    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    109146    0.00    0.00    0.00    0.00    0.00     -  sh
