          <idle>-0       [001] ..s2. 176193.584303: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] .Ns2. 176200.323681: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

