Linux 6.8.12+ (sendai) 	11/13/2025 	_x86_64_	(6 CPU)

11:26:24 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:27:04 AM     0       660    0.03    0.00    0.00    0.00    0.03     4  systemd-journal
11:27:04 AM   111    706528    2.97    1.70    0.00    0.85    4.67     0  netdata
11:27:04 AM   111    706905    0.07    0.10    0.00    0.03    0.18     0  bash
11:27:04 AM   111    706924    0.27    0.75    0.00    0.05    1.03     0  apps.plugin
11:27:04 AM   111    706925    0.10    0.03    0.00    0.00    0.12     0  go.d.plugin
11:27:04 AM   111    706929    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
11:27:04 AM   111    706932    0.03    0.00    0.00    0.00    0.03     0  sd-jrnl.plugin
11:27:04 AM   111    706934    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
11:27:04 AM   111    706936    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
11:27:04 AM   111    706937    0.05    0.00    0.00    0.00    0.05     0  debugfs.plugin
11:27:04 AM   111    706942    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
11:27:04 AM  1000    707135    0.18    0.00    0.00    0.00    0.18     4  ssh
11:27:04 AM  1000    707136    0.00    0.00    0.00    0.00    0.00     5  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0       660    0.03    0.00    0.00    0.00    0.03     -  systemd-journal
Average:      111    706528    2.97    1.70    0.00    0.85    4.67     -  netdata
Average:      111    706905    0.07    0.10    0.00    0.03    0.18     -  bash
Average:      111    706924    0.27    0.75    0.00    0.05    1.03     -  apps.plugin
Average:      111    706925    0.10    0.03    0.00    0.00    0.12     -  go.d.plugin
Average:      111    706929    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:      111    706932    0.03    0.00    0.00    0.00    0.03     -  sd-jrnl.plugin
Average:      111    706934    0.00    0.00    0.00    0.00    0.00     -  NETWORK-VIEWER
Average:      111    706936    0.00    0.00    0.00    0.00    0.00     -  ebpf.plugin
Average:      111    706937    0.05    0.00    0.00    0.00    0.05     -  debugfs.plugin
Average:      111    706942    0.00    0.00    0.00    0.00    0.00     -  nfacct.plugin
Average:     1000    707135    0.18    0.00    0.00    0.00    0.18     -  ssh
Average:     1000    707136    0.00    0.00    0.00    0.00    0.00     -  sh
