Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

03:38:41 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:39:21 AM     0      1495    0.00    0.03    0.00    0.00    0.03     1  systemd-journal
03:39:21 AM   111    407625    0.40    0.20    0.00    0.00    0.60     0  netdata
03:39:21 AM   111    408002    0.12    0.05    0.00    0.00    0.18     2  bash
03:39:21 AM   111    408018    0.00    0.00    0.00    0.00    0.00     4  otel-plugin
03:39:21 AM  1000    408236    0.20    0.00    0.00    0.00    0.20     4  ssh
03:39:21 AM  1000    408237    0.00    0.00    0.00    0.00    0.00     5  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    407625    0.40    0.20    0.00    0.00    0.60     -  netdata
Average:      111    408002    0.12    0.05    0.00    0.00    0.18     -  bash
Average:      111    408018    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    408236    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    408237    0.00    0.00    0.00    0.00    0.00     -  sh
