Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

03:00:13 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:00:53 AM     0      1495    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
03:00:53 AM   111    361509    0.25    0.57    0.00    0.00    0.83     1  netdata
03:00:53 AM   111    361878    0.03    0.12    0.00    0.00    0.15     0  bash
03:00:53 AM   111    361900    0.15    0.03    0.00    0.00    0.18     4  go.d.plugin
03:00:53 AM   111    361904    0.00    0.00    0.00    0.00    0.00     2  otel-plugin
03:00:53 AM  1000    362177    0.00    0.00    0.00    0.00    0.00     5  ssh
03:00:53 AM  1000    362635    0.00    0.00    0.00    0.00    0.00     5  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111    361509    0.25    0.57    0.00    0.00    0.83     -  netdata
Average:      111    361878    0.03    0.12    0.00    0.00    0.15     -  bash
Average:      111    361900    0.15    0.03    0.00    0.00    0.18     -  go.d.plugin
Average:      111    361904    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    362177    0.00    0.00    0.00    0.00    0.00     -  ssh
Average:     1000    362635    0.00    0.00    0.00    0.00    0.00     -  sh
