Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

09:19:06 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:19:46 PM     0      1495    0.00    0.03    0.00    0.00    0.03     3  systemd-journal
09:19:46 PM   111    135361    0.38    0.27    0.00    0.00    0.65     2  netdata
09:19:46 PM   111    135731    0.07    0.10    0.00    0.00    0.18     2  bash
09:19:46 PM   111    135755    0.00    0.00    0.00    0.00    0.00     2  otel-plugin
09:19:46 PM  1000    135979    0.20    0.00    0.00    0.00    0.20     0  ssh
09:19:46 PM  1000    135980    0.00    0.00    0.00    0.00    0.00     1  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    135361    0.38    0.27    0.00    0.00    0.65     -  netdata
Average:      111    135731    0.07    0.10    0.00    0.00    0.18     -  bash
Average:      111    135755    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    135979    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    135980    0.00    0.00    0.00    0.00    0.00     -  sh
