Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

03:12:37 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:13:17 AM     0      1495    0.00    0.03    0.00    0.00    0.03     2  systemd-journal
03:13:17 AM   111    374865    0.18    0.53    0.00    0.00    0.70     1  netdata
03:13:17 AM   111    375235    0.10    0.07    0.00    0.00    0.18     0  bash
03:13:17 AM   111    375258    0.00    0.00    0.00    0.00    0.00     2  otel-plugin
03:13:17 AM  1000    375476    0.20    0.00    0.00    0.00    0.20     2  ssh
03:13:17 AM  1000    375477    0.00    0.00    0.00    0.00    0.00     5  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    374865    0.18    0.53    0.00    0.00    0.70     -  netdata
Average:      111    375235    0.10    0.07    0.00    0.00    0.18     -  bash
Average:      111    375258    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    375476    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    375477    0.00    0.00    0.00    0.00    0.00     -  sh
