Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

02:17:41 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:18:21 AM     0      1495    0.00    0.00    0.00    0.00    0.00     1  systemd-journal
02:18:21 AM   111    319272   11.07    5.05    0.00    0.00   16.12     4  netdata
02:18:21 AM   111    319643    0.12    0.05    0.00    0.00    0.18     2  bash
02:18:21 AM   111    319666    0.10    0.00    0.00    0.00    0.10     3  go.d.plugin
02:18:21 AM   111    319667    0.00    0.00    0.00    0.00    0.00     2  otel-plugin
02:18:21 AM  1000    319911    0.00    0.00    0.00    0.00    0.00     0  ssh
02:18:21 AM  1000    320427    0.00    0.00    0.00    0.00    0.00     1  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111    319272   11.07    5.05    0.00    0.00   16.12     -  netdata
Average:      111    319643    0.12    0.05    0.00    0.00    0.18     -  bash
Average:      111    319666    0.10    0.00    0.00    0.00    0.10     -  go.d.plugin
Average:      111    319667    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    319911    0.00    0.00    0.00    0.00    0.00     -  ssh
Average:     1000    320427    0.00    0.00    0.00    0.00    0.00     -  sh
