Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

02:14:25 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:15:05 AM     0      1495    0.00    0.00    0.00    0.00    0.00     1  systemd-journal
02:15:05 AM   111    314888    0.40    0.33    0.00    0.00    0.73     4  netdata
02:15:05 AM   111    315333    0.07    0.07    0.00    0.00    0.15     0  bash
02:15:05 AM   111    315353    0.10    0.03    0.00    0.00    0.12     2  go.d.plugin
02:15:05 AM   111    315355    0.00    0.00    0.00    0.00    0.00     4  otel-plugin
02:15:05 AM  1000    316685    0.00    0.00    0.00    0.00    0.00     1  ssh
02:15:05 AM  1000    317133    0.00    0.00    0.00    0.00    0.00     2  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111    314888    0.40    0.33    0.00    0.00    0.73     -  netdata
Average:      111    315333    0.07    0.07    0.00    0.00    0.15     -  bash
Average:      111    315353    0.10    0.03    0.00    0.00    0.12     -  go.d.plugin
Average:      111    315355    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    316685    0.00    0.00    0.00    0.00    0.00     -  ssh
Average:     1000    317133    0.00    0.00    0.00    0.00    0.00     -  sh
