Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

08:01:52 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:02:32 PM     0      1495    0.03    0.00    0.00    0.00    0.03     5  systemd-journal
08:02:32 PM   111     44992    0.33    0.43    0.00    0.00    0.75     4  netdata
08:02:32 PM   111     45372    0.10    0.07    0.00    0.00    0.18     0  bash
08:02:32 PM   111     45388    0.07    0.03    0.00    0.00    0.10     3  go.d.plugin
08:02:32 PM   111     45389    0.00    0.00    0.00    0.00    0.00     1  otel-plugin
08:02:32 PM  1000     45643    0.00    0.00    0.00    0.00    0.00     2  ssh
08:02:32 PM  1000     46118    0.00    0.00    0.00    0.00    0.00     0  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.03    0.00    0.00    0.00    0.03     -  systemd-journal
Average:      111     44992    0.33    0.43    0.00    0.00    0.75     -  netdata
Average:      111     45372    0.10    0.07    0.00    0.00    0.18     -  bash
Average:      111     45388    0.07    0.03    0.00    0.00    0.10     -  go.d.plugin
Average:      111     45389    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000     45643    0.00    0.00    0.00    0.00    0.00     -  ssh
Average:     1000     46118    0.00    0.00    0.00    0.00    0.00     -  sh
