Linux 6.8.12+ (sendai) 	11/28/2025 	_x86_64_	(6 CPU)

03:35:28 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:36:08 PM     0      9965    0.03    0.03    0.00    0.00    0.05     0  systemd-journal
03:36:08 PM   111    248823    1.12    1.23    0.00    0.00    2.35     3  netdata
03:36:08 PM   111    249197    0.07    0.07    0.00    0.00    0.15     4  bash
03:36:08 PM   111    249219    0.00    0.00    0.00    0.00    0.00     3  otel-plugin
03:36:08 PM  1000    249377    0.22    0.00    0.00    0.00    0.22     5  ssh
03:36:08 PM  1000    249378    0.00    0.00    0.00    0.00    0.00     3  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.03    0.03    0.00    0.00    0.05     -  systemd-journal
Average:      111    248823    1.12    1.23    0.00    0.00    2.35     -  netdata
Average:      111    249197    0.07    0.07    0.00    0.00    0.15     -  bash
Average:      111    249219    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    249377    0.22    0.00    0.00    0.00    0.22     -  ssh
Average:     1000    249378    0.00    0.00    0.00    0.00    0.00     -  sh
