Linux 6.8.12+ (sendai) 	11/28/2025 	_x86_64_	(6 CPU)

04:47:18 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:47:58 PM     0      9965    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
04:47:58 PM   111    314709    1.85    1.73    0.00    0.00    3.57     4  netdata
04:47:58 PM   111    315081    0.07    0.10    0.00    0.00    0.18     2  bash
04:47:58 PM   111    315104    0.18    0.03    0.00    0.00    0.20     4  go.d.plugin
04:47:58 PM   111    315108    0.00    0.00    0.00    0.00    0.00     3  otel-plugin
04:47:58 PM  1000    315288    0.20    0.00    0.00    0.00    0.20     2  ssh
04:47:58 PM  1000    315289    0.00    0.00    0.00    0.00    0.00     2  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111    314709    1.85    1.73    0.00    0.00    3.57     -  netdata
Average:      111    315081    0.07    0.10    0.00    0.00    0.18     -  bash
Average:      111    315104    0.18    0.03    0.00    0.00    0.20     -  go.d.plugin
Average:      111    315108    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    315288    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    315289    0.00    0.00    0.00    0.00    0.00     -  sh
