Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

03:27:05 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:27:45 AM     0      1495    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
03:27:45 AM   111    392858    0.33    0.30    0.00    0.00    0.62     3  netdata
03:27:45 AM   111    393227    0.07    0.10    0.00    0.00    0.18     2  bash
03:27:45 AM   111    393250    0.00    0.00    0.00    0.00    0.00     4  otel-plugin
03:27:45 AM  1000    393469    0.20    0.00    0.00    0.00    0.20     1  ssh
03:27:45 AM  1000    393470    0.00    0.00    0.00    0.00    0.00     0  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111    392858    0.33    0.30    0.00    0.00    0.62     -  netdata
Average:      111    393227    0.07    0.10    0.00    0.00    0.18     -  bash
Average:      111    393250    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    393469    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    393470    0.00    0.00    0.00    0.00    0.00     -  sh
