Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

02:40:35 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:41:15 AM     0      1495    0.00    0.00    0.00    0.00    0.00     0  systemd-journal
02:41:15 AM   111    341773    0.57    0.22    0.00    0.00    0.80     0  netdata
02:41:15 AM   111    342142    0.05    0.10    0.00    0.00    0.15     3  bash
02:41:15 AM   111    342167    0.12    0.00    0.00    0.00    0.12     0  go.d.plugin
02:41:15 AM   111    342168    0.00    0.00    0.00    0.00    0.00     2  otel-plugin
02:41:15 AM  1000    342435    0.00    0.00    0.00    0.00    0.00     2  ssh
02:41:15 AM  1000    342887    0.00    0.00    0.00    0.00    0.00     1  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111    341773    0.57    0.22    0.00    0.00    0.80     -  netdata
Average:      111    342142    0.05    0.10    0.00    0.00    0.15     -  bash
Average:      111    342167    0.12    0.00    0.00    0.00    0.12     -  go.d.plugin
Average:      111    342168    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    342435    0.00    0.00    0.00    0.00    0.00     -  ssh
Average:     1000    342887    0.00    0.00    0.00    0.00    0.00     -  sh
