Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

08:54:04 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:54:44 PM     0      1495    0.00    0.03    0.00    0.00    0.03     3  systemd-journal
08:54:44 PM   111    102391    0.40    0.25    0.00    0.00    0.65     0  netdata
08:54:44 PM   111    102763    0.07    0.07    0.00    0.00    0.15     2  bash
08:54:44 PM   111    102781    0.00    0.00    0.00    0.00    0.00     4  otel-plugin
08:54:44 PM  1000    103008    0.20    0.00    0.00    0.00    0.20     5  ssh
08:54:44 PM  1000    103009    0.00    0.00    0.00    0.00    0.00     3  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    102391    0.40    0.25    0.00    0.00    0.65     -  netdata
Average:      111    102763    0.07    0.07    0.00    0.00    0.15     -  bash
Average:      111    102781    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    103008    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    103009    0.00    0.00    0.00    0.00    0.00     -  sh
