Linux 6.8.12+ (sendai) 	11/09/2025 	_x86_64_	(6 CPU)

12:09:20 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:09:21 AM   111    252049    4.00   11.00    0.00    0.00   15.00     0  netdata
12:09:21 AM   111    252426    0.00    0.00    0.00    0.00    0.00     0  bash
12:09:21 AM   111    252446    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
12:09:21 AM   111    252447    0.00    1.00    0.00    0.00    1.00     0  apps.plugin
12:09:21 AM   111    252449    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
12:09:21 AM   111    252450    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
12:09:21 AM   111    252451    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
12:09:21 AM   111    252454    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
12:09:21 AM   111    252458    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
12:09:21 AM   111    252463    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
12:09:21 AM  1000    252651    8.00    1.00    0.00    0.00    9.00     3  ssh
12:09:21 AM  1000    252652    0.00    0.00    0.00    0.00    0.00     4  sh
12:09:21 AM     0   1946633    0.00    0.00    0.00    0.00    0.00     3  systemd-journal

12:09:21 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:09:22 AM   111    252049    3.00    7.00    0.00    0.00   10.00     0  netdata
12:09:22 AM   111    252426    0.00    0.00    0.00    0.00    0.00     0  bash
12:09:22 AM   111    252446    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
12:09:22 AM   111    252447    0.00    0.00    0.00    0.00    0.00     0  apps.plugin
12:09:22 AM   111    252449    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
12:09:22 AM   111    252450    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
12:09:22 AM   111    252451    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
12:09:22 AM   111    252454    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
12:09:22 AM   111    252458    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
12:09:22 AM   111    252463    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
12:09:22 AM  1000    252651    0.00    0.00    0.00    0.00    0.00     3  ssh
12:09:22 AM  1000    252652    0.00    0.00    0.00    0.00    0.00     4  sh
12:09:22 AM     0   1946633    0.00    0.00    0.00    0.00    0.00     3  systemd-journal

12:09:22 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:09:23 AM   111    252049    2.00    8.00    0.00    0.00   10.00     0  netdata
12:09:23 AM   111    252426    0.00    0.00    0.00    0.00    0.00     0  bash
12:09:23 AM   111    252446    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
12:09:23 AM   111    252447    0.00    1.00    0.00    0.00    1.00     0  apps.plugin
12:09:23 AM   111    252449    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
12:09:23 AM   111    252450    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
12:09:23 AM   111    252451    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
12:09:23 AM   111    252454    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
12:09:23 AM   111    252458    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
12:09:23 AM   111    252463    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
12:09:23 AM  1000    252651    0.00    0.00    0.00    0.00    0.00     3  ssh
12:09:23 AM  1000    252652    0.00    0.00    0.00    0.00    0.00     4  sh
12:09:23 AM     0   1946633    0.00    0.00    0.00    0.00    0.00     3  systemd-journal

12:09:23 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:09:24 AM   111    252049    8.00    6.00    0.00    0.00   14.00     0  netdata
12:09:24 AM   111    252426    0.00    0.00    0.00    0.00    0.00     0  bash
12:09:24 AM   111    252446    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
12:09:24 AM   111    252447    1.00    1.00    0.00    0.00    2.00     0  apps.plugin
12:09:24 AM   111    252449    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
12:09:24 AM   111    252450    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
12:09:24 AM   111    252451    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
12:09:24 AM   111    252454    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
12:09:24 AM   111    252458    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
12:09:24 AM   111    252463    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
12:09:24 AM  1000    252651    0.00    0.00    0.00    0.00    0.00     3  ssh
12:09:24 AM  1000    252652    0.00    0.00    0.00    0.00    0.00     4  sh
12:09:24 AM     0   1946633    0.00    0.00    0.00    0.00    0.00     3  systemd-journal

12:09:24 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:09:25 AM   111    252049    2.00    2.00    0.00    0.00    4.00     0  netdata
12:09:25 AM   111    252426    0.00    0.00    0.00    0.00    0.00     0  bash
12:09:25 AM   111    252446    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
12:09:25 AM   111    252447    0.00    1.00    0.00    0.00    1.00     0  apps.plugin
12:09:25 AM   111    252449    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
12:09:25 AM   111    252450    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
12:09:25 AM   111    252451    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
12:09:25 AM   111    252454    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
12:09:25 AM   111    252458    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
12:09:25 AM   111    252463    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
12:09:25 AM  1000    252651    0.00    0.00    0.00    0.00    0.00     3  ssh
12:09:25 AM  1000    252652    0.00    0.00    0.00    0.00    0.00     4  sh
12:09:25 AM     0   1946633    0.00    0.00    0.00    0.00    0.00     3  systemd-journal

12:09:25 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:09:26 AM   111    252049    0.00    0.00    0.00    0.00    0.00     0  netdata
