Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

04:57:03 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:57:43 PM     0     12006    0.00    0.00    0.00    0.00    0.00     0  systemd-journal
04:57:43 PM   111   1862364    0.15    0.53    0.00    0.00    0.68     2  netdata
04:57:43 PM   111   1862735    0.07    0.10    0.00    0.00    0.18     3  bash
04:57:43 PM   111   1862757    0.00    0.00    0.00    0.00    0.00     3  otel-plugin
04:57:43 PM  1000   1863014    0.18    0.00    0.00    0.00    0.18     4  ssh
04:57:43 PM  1000   1863015    0.00    0.00    0.00    0.00    0.00     2  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0     12006    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111   1862364    0.15    0.53    0.00    0.00    0.68     -  netdata
Average:      111   1862735    0.07    0.10    0.00    0.00    0.18     -  bash
Average:      111   1862757    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000   1863014    0.18    0.00    0.00    0.00    0.18     -  ssh
Average:     1000   1863015    0.00    0.00    0.00    0.00    0.00     -  sh
