Linux 6.8.12+ (sendai) 	11/27/2025 	_x86_64_	(6 CPU)

09:10:53 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:11:33 PM     0      9965    0.03    0.00    0.00    0.00    0.03     3  systemd-journal
09:11:33 PM   111   3755193   13.53    6.17    0.00    0.00   19.70     2  netdata
09:11:33 PM   111   3755566    0.12    0.05    0.00    0.00    0.18     4  bash
09:11:33 PM   111   3755589    0.00    0.00    0.00    0.00    0.00     1  otel-plugin
09:11:33 PM   111   3755592    0.12    0.07    0.00    0.00    0.20     3  go.d.plugin
09:11:33 PM  1000   3755771    0.20    0.00    0.00    0.00    0.20     1  ssh
09:11:33 PM  1000   3755772    0.00    0.00    0.00    0.00    0.00     3  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.03    0.00    0.00    0.00    0.03     -  systemd-journal
Average:      111   3755193   13.53    6.17    0.00    0.00   19.70     -  netdata
Average:      111   3755566    0.12    0.05    0.00    0.00    0.18     -  bash
Average:      111   3755589    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:      111   3755592    0.12    0.07    0.00    0.00    0.20     -  go.d.plugin
Average:     1000   3755771    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000   3755772    0.00    0.00    0.00    0.00    0.00     -  sh
