Linux 6.8.12+ (sendai) 	11/09/2025 	_x86_64_	(6 CPU)

03:26:52 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:27:32 AM   111    396500    1.12    1.20    0.00    0.00    2.33     0  netdata
03:27:32 AM   111    396880    0.10    0.07    0.00    0.00    0.18     0  bash
03:27:32 AM   111    396899    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
03:27:32 AM   111    396906    0.00    0.05    0.00    0.03    0.05     0  debugfs.plugin
03:27:32 AM   111    396908    0.27    0.62    0.00    0.00    0.90     0  apps.plugin
03:27:32 AM   111    396909    0.12    0.03    0.00    0.00    0.15     0  go.d.plugin
03:27:32 AM   111    396910    0.00    0.03    0.00    0.03    0.03     0  ebpf.plugin
03:27:32 AM   111    396913    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
03:27:32 AM   111    396917    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
03:27:32 AM   111    396921    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
03:27:32 AM  1000    397109    0.20    0.00    0.00    0.00    0.20     5  ssh
03:27:32 AM  1000    397110    0.00    0.00    0.00    0.00    0.00     4  sh
03:27:32 AM     0   1946633    0.00    0.00    0.00    0.00    0.00     5  systemd-journal

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:      111    396500    1.12    1.20    0.00    0.00    2.33     -  netdata
Average:      111    396880    0.10    0.07    0.00    0.00    0.18     -  bash
Average:      111    396899    0.00    0.00    0.00    0.00    0.00     -  NETWORK-VIEWER
Average:      111    396906    0.00    0.05    0.00    0.03    0.05     -  debugfs.plugin
Average:      111    396908    0.27    0.62    0.00    0.00    0.90     -  apps.plugin
Average:      111    396909    0.12    0.03    0.00    0.00    0.15     -  go.d.plugin
Average:      111    396910    0.00    0.03    0.00    0.03    0.03     -  ebpf.plugin
Average:      111    396913    0.00    0.00    0.00    0.00    0.00     -  sd-jrnl.plugin
Average:      111    396917    0.00    0.00    0.00    0.00    0.00     -  nfacct.plugin
Average:      111    396921    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    397109    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    397110    0.00    0.00    0.00    0.00    0.00     -  sh
Average:        0   1946633    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
