Linux 6.8.12+ (sendai) 	11/28/2025 	_x86_64_	(6 CPU)

03:26:40 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:27:20 PM     0      9965    0.00    0.03    0.00    0.00    0.03     3  systemd-journal
03:27:20 PM   111    236676    1.23    1.07    0.00    0.00    2.30     4  netdata
03:27:20 PM   111    237045    0.10    0.07    0.00    0.00    0.18     4  bash
03:27:20 PM   111    237069    0.00    0.00    0.00    0.00    0.00     1  otel-plugin
03:27:20 PM  1000    237222    0.20    0.00    0.00    0.00    0.20     3  ssh
03:27:20 PM  1000    237223    0.00    0.00    0.00    0.00    0.00     3  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    236676    1.23    1.07    0.00    0.00    2.30     -  netdata
Average:      111    237045    0.10    0.07    0.00    0.00    0.18     -  bash
Average:      111    237069    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    237222    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    237223    0.00    0.00    0.00    0.00    0.00     -  sh
