Linux 6.8.12+ (sendai) 	11/28/2025 	_x86_64_	(6 CPU)

03:27:33 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:28:13 PM     0      9965    0.00    0.03    0.00    0.00    0.03     5  systemd-journal
03:28:13 PM   111    237879    1.18    1.38    0.00    0.00    2.55     4  netdata
03:28:13 PM   111    238256    0.05    0.12    0.00    0.00    0.18     3  bash
03:28:13 PM   111    238275    0.00    0.00    0.00    0.00    0.00     3  otel-plugin
03:28:13 PM  1000    238428    0.20    0.00    0.00    0.00    0.20     3  ssh
03:28:13 PM  1000    238429    0.00    0.00    0.00    0.00    0.00     4  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    237879    1.18    1.38    0.00    0.00    2.55     -  netdata
Average:      111    238256    0.05    0.12    0.00    0.00    0.18     -  bash
Average:      111    238275    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    238428    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    238429    0.00    0.00    0.00    0.00    0.00     -  sh
