Linux 6.8.12+ (sendai) 	11/28/2025 	_x86_64_	(6 CPU)

04:40:15 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:40:55 PM     0      9965    0.03    0.00    0.00    0.00    0.03     1  systemd-journal
04:40:55 PM   111    304534    2.70    1.62    0.00    0.00    4.32     0  netdata
04:40:55 PM   111    304905    0.05    0.10    0.00    0.00    0.15     0  bash
04:40:55 PM   111    304929    0.12    0.05    0.00    0.00    0.18     3  go.d.plugin
04:40:55 PM   111    304931    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
04:40:55 PM  1000    305114    0.20    0.00    0.00    0.00    0.20     1  ssh
04:40:55 PM  1000    305115    0.00    0.00    0.00    0.00    0.00     3  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.03    0.00    0.00    0.00    0.03     -  systemd-journal
Average:      111    304534    2.70    1.62    0.00    0.00    4.32     -  netdata
Average:      111    304905    0.05    0.10    0.00    0.00    0.15     -  bash
Average:      111    304929    0.12    0.05    0.00    0.00    0.18     -  go.d.plugin
Average:      111    304931    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    305114    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    305115    0.00    0.00    0.00    0.00    0.00     -  sh
