Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

03:44:28 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:45:08 AM     0      1495    0.00    0.03    0.00    0.00    0.03     1  systemd-journal
03:45:08 AM   111    415131    0.40    0.25    0.00    0.00    0.65     4  netdata
03:45:08 AM   111    415502    0.05    0.10    0.00    0.00    0.15     3  bash
03:45:08 AM   111    415524    0.00    0.00    0.00    0.00    0.00     1  otel-plugin
03:45:08 AM  1000    415742    0.20    0.00    0.00    0.00    0.20     2  ssh
03:45:08 AM  1000    415743    0.00    0.00    0.00    0.00    0.00     1  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    415131    0.40    0.25    0.00    0.00    0.65     -  netdata
Average:      111    415502    0.05    0.10    0.00    0.00    0.15     -  bash
Average:      111    415524    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    415742    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    415743    0.00    0.00    0.00    0.00    0.00     -  sh
