Linux 6.8.12+ (sendai) 	11/28/2025 	_x86_64_	(6 CPU)

12:25:17 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:25:57 AM     0      9965    0.03    0.00    0.00    0.00    0.03     1  systemd-journal
12:25:57 AM   111   3928173    2.20    1.88    0.00    0.00    4.08     2  netdata
12:25:57 AM   111   3928553    0.07    0.12    0.00    0.00    0.20     4  bash
12:25:57 AM   111   3928569    0.00    0.00    0.00    0.00    0.00     1  otel-plugin
12:25:57 AM   111   3928570    0.15    0.05    0.00    0.00    0.20     0  go.d.plugin
12:25:57 AM  1000   3928752    0.20    0.00    0.00    0.00    0.20     1  ssh
12:25:57 AM  1000   3928753    0.00    0.00    0.00    0.00    0.00     5  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.03    0.00    0.00    0.00    0.03     -  systemd-journal
Average:      111   3928173    2.20    1.88    0.00    0.00    4.08     -  netdata
Average:      111   3928553    0.07    0.12    0.00    0.00    0.20     -  bash
Average:      111   3928569    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:      111   3928570    0.15    0.05    0.00    0.00    0.20     -  go.d.plugin
Average:     1000   3928752    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000   3928753    0.00    0.00    0.00    0.00    0.00     -  sh
