          <idle>-0       [003] ..s2. 1295657.000521: bpf_trace_printk: port: 11211, total_metrics_size is 656 
          <idle>-0       [003] .Ns2. 1295657.501936: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.501943: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.501947: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.501952: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.501956: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.501962: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.501963: bpf_trace_printk: Elapsed cycles are 205044
          <idle>-0       [003] .Ns2. 1295657.602078: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.602084: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.602088: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.602093: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.602097: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.602103: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.602108: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.602112: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.602116: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.602121: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.602122: bpf_trace_printk: Elapsed cycles are 191966
          <idle>-0       [003] .Ns2. 1295657.702239: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.702245: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.702249: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.702253: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.702258: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.702263: bpf_trace_printk: port: 11216, total_metrics_size is 656 

