          <idle>-0       [000] ..s2. 1295568.309267: bpf_trace_printk: port: 11211, total_metrics_size is -22 
          <idle>-0       [001] .Ns2. 1295574.385841: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295574.385846: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295574.385851: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295574.385856: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295574.385861: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295574.385866: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295574.385871: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295574.385875: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295574.385878: bpf_trace_printk: Elapsed cycles are 231848
          <idle>-0       [001] .Ns2. 1295575.385995: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295575.386003: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295575.386008: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295575.386014: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295575.386019: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295575.386024: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295575.386029: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295575.386033: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295575.386038: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295575.386043: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295575.386043: bpf_trace_printk: Elapsed cycles are 235866
          <idle>-0       [001] .Ns2. 1295576.386162: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295576.386169: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295576.386174: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295576.386179: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295576.386185: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295576.386190: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295576.386195: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295576.386200: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295576.386207: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295576.386212: bpf_trace_printk: port: 11220, total_metrics_size is 656 

