Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

08:48:35 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:49:15 PM  1000     96525    5.53    7.90    0.00    0.27   13.43     5  redis_info_loop
08:49:15 PM  1000     96527    0.00    0.00    0.00    0.00    0.00     3  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:     1000     96525    5.53    7.90    0.00    0.27   13.43     -  redis_info_loop
Average:     1000     96527    0.00    0.00    0.00    0.00    0.00     -  sh
