Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

09:23:53 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:24:33 PM     0      1495    0.03    0.00    0.00    0.00    0.03     1  systemd-journal
09:24:33 PM   111    141774   15.60    4.72    0.00    0.00   20.32     1  netdata
09:24:33 PM   111    142149    0.05    0.10    0.00    0.00    0.15     1  bash
09:24:33 PM   111    142171    0.00    0.00    0.00    0.00    0.00     1  otel-plugin
09:24:33 PM  1000    142392    0.20    0.00    0.00    0.00    0.20     2  ssh
09:24:33 PM  1000    142393    0.00    0.00    0.00    0.00    0.00     0  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.03    0.00    0.00    0.00    0.03     -  systemd-journal
Average:      111    141774   15.60    4.72    0.00    0.00   20.32     -  netdata
Average:      111    142149    0.05    0.10    0.00    0.00    0.15     -  bash
Average:      111    142171    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    142392    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    142393    0.00    0.00    0.00    0.00    0.00     -  sh
