Linux 6.8.12+ (sendai) 	11/27/2025 	_x86_64_	(6 CPU)

08:55:04 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:55:44 PM     0      9965    0.03    0.00    0.00    0.00    0.03     5  systemd-journal
08:55:44 PM   111   3732770   16.68    6.35    0.00    0.00   23.03     0  netdata
08:55:44 PM   111   3733153    0.07    0.12    0.00    0.00    0.20     4  bash
08:55:44 PM   111   3733169    0.00    0.00    0.00    0.00    0.00     2  otel-plugin
08:55:44 PM  1000   3733319    0.18    0.00    0.00    0.00    0.18     5  ssh
08:55:44 PM  1000   3733320    0.00    0.00    0.00    0.00    0.00     4  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.03    0.00    0.00    0.00    0.03     -  systemd-journal
Average:      111   3732770   16.68    6.35    0.00    0.00   23.03     -  netdata
Average:      111   3733153    0.07    0.12    0.00    0.00    0.20     -  bash
Average:      111   3733169    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000   3733319    0.18    0.00    0.00    0.00    0.18     -  ssh
Average:     1000   3733320    0.00    0.00    0.00    0.00    0.00     -  sh
