          <idle>-0       [001] ..s2. 176363.735784: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 176392.126648: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

          <idle>-0       [003] ..s2. 176456.416947: bpf_trace_printk: [ABORTED] port: 11211, total_metrics_size is -2 

