Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

03:15:31 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:16:11 AM     0      1495    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
03:16:11 AM   111    378421    0.35    0.27    0.00    0.00    0.62     3  netdata
03:16:11 AM   111    378790    0.05    0.10    0.00    0.00    0.15     4  bash
03:16:11 AM   111    378814    0.00    0.00    0.00    0.00    0.00     3  otel-plugin
03:16:11 AM  1000    379032    0.20    0.00    0.00    0.00    0.20     3  ssh
03:16:11 AM  1000    379033    0.00    0.00    0.00    0.00    0.00     5  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111    378421    0.35    0.27    0.00    0.00    0.62     -  netdata
Average:      111    378790    0.05    0.10    0.00    0.00    0.15     -  bash
Average:      111    378814    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    379032    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    379033    0.00    0.00    0.00    0.00    0.00     -  sh
