Linux 6.8.12+ (sendai) 	11/27/2025 	_x86_64_	(6 CPU)

09:00:20 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:01:00 PM     0      9965    0.03    0.03    0.00    0.00    0.05     1  systemd-journal
09:01:00 PM   111   3740349   16.28    6.85    0.00    0.00   23.12     3  netdata
09:01:00 PM   111   3740717    0.05    0.10    0.00    0.00    0.15     2  bash
09:01:00 PM   111   3740743    0.00    0.00    0.00    0.00    0.00     3  otel-plugin
09:01:00 PM  1000   3740895    0.18    0.00    0.00    0.00    0.18     4  ssh
09:01:00 PM  1000   3740896    0.00    0.00    0.00    0.00    0.00     5  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.03    0.03    0.00    0.00    0.05     -  systemd-journal
Average:      111   3740349   16.28    6.85    0.00    0.00   23.12     -  netdata
Average:      111   3740717    0.05    0.10    0.00    0.00    0.15     -  bash
Average:      111   3740743    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000   3740895    0.18    0.00    0.00    0.00    0.18     -  ssh
Average:     1000   3740896    0.00    0.00    0.00    0.00    0.00     -  sh
