Linux 6.8.12+ (sendai) 	11/27/2025 	_x86_64_	(6 CPU)

09:18:48 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:19:28 PM     0      9965    0.03    0.00    0.00    0.00    0.03     3  systemd-journal
09:19:28 PM   111   3766690   14.37    6.12    0.00    0.00   20.50     1  netdata
09:19:28 PM   111   3767063    0.12    0.07    0.00    0.00    0.20     2  bash
09:19:28 PM   111   3767086    0.10    0.12    0.00    0.00    0.22     3  go.d.plugin
09:19:28 PM   111   3767089    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
09:19:28 PM  1000   3767269    0.22    0.00    0.00    0.00    0.22     1  ssh
09:19:28 PM  1000   3767270    0.00    0.00    0.00    0.00    0.00     4  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.03    0.00    0.00    0.00    0.03     -  systemd-journal
Average:      111   3766690   14.37    6.12    0.00    0.00   20.50     -  netdata
Average:      111   3767063    0.12    0.07    0.00    0.00    0.20     -  bash
Average:      111   3767086    0.10    0.12    0.00    0.00    0.22     -  go.d.plugin
Average:      111   3767089    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000   3767269    0.22    0.00    0.00    0.00    0.22     -  ssh
Average:     1000   3767270    0.00    0.00    0.00    0.00    0.00     -  sh
