Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

09:16:12 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:16:52 PM     0      1495    0.00    0.03    0.00    0.00    0.03     5  systemd-journal
09:16:52 PM   111    131530    0.33    0.30    0.00    0.00    0.62     1  netdata
09:16:52 PM   111    131900    0.12    0.03    0.00    0.00    0.15     4  bash
09:16:52 PM   111    131924    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
09:16:52 PM  1000    132147    0.20    0.00    0.00    0.00    0.20     3  ssh
09:16:52 PM  1000    132148    0.00    0.00    0.00    0.00    0.00     2  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    131530    0.33    0.30    0.00    0.00    0.62     -  netdata
Average:      111    131900    0.12    0.03    0.00    0.00    0.15     -  bash
Average:      111    131924    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    132147    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    132148    0.00    0.00    0.00    0.00    0.00     -  sh
