Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

05:15:53 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:16:33 PM     0     12006    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
05:16:33 PM   111   1885235    0.33    0.27    0.00    0.00    0.60     3  netdata
05:16:33 PM   111   1885610    0.07    0.07    0.00    0.00    0.15     2  bash
05:16:33 PM   111   1885631    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
05:16:33 PM  1000   1885855    0.18    0.00    0.00    0.00    0.18     5  ssh
05:16:33 PM  1000   1885856    0.00    0.00    0.00    0.00    0.00     0  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0     12006    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111   1885235    0.33    0.27    0.00    0.00    0.60     -  netdata
Average:      111   1885610    0.07    0.07    0.00    0.00    0.15     -  bash
Average:      111   1885631    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000   1885855    0.18    0.00    0.00    0.00    0.18     -  ssh
Average:     1000   1885856    0.00    0.00    0.00    0.00    0.00     -  sh
