Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

05:08:10 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:08:50 PM     0     12006    0.00    0.03    0.00    0.00    0.03     5  systemd-journal
05:08:50 PM   111   1877282    0.40    0.27    0.00    0.00    0.68     2  netdata
05:08:50 PM   111   1877653    0.10    0.05    0.00    0.00    0.15     2  bash
05:08:50 PM   111   1877673    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
05:08:50 PM  1000   1877899    0.20    0.00    0.00    0.00    0.20     0  ssh
05:08:50 PM  1000   1877900    0.00    0.00    0.00    0.00    0.00     4  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0     12006    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111   1877282    0.40    0.27    0.00    0.00    0.68     -  netdata
Average:      111   1877653    0.10    0.05    0.00    0.00    0.15     -  bash
Average:      111   1877673    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000   1877899    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000   1877900    0.00    0.00    0.00    0.00    0.00     -  sh
