Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

03:36:45 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:37:25 AM     0      1495    0.03    0.00    0.00    0.00    0.03     1  systemd-journal
03:37:25 AM   111    405137    0.18    0.47    0.00    0.00    0.65     3  netdata
03:37:25 AM   111    405507    0.07    0.07    0.00    0.00    0.15     4  bash
03:37:25 AM   111    405530    0.00    0.00    0.00    0.00    0.00     4  otel-plugin
03:37:25 AM  1000    405750    0.20    0.00    0.00    0.00    0.20     3  ssh
03:37:25 AM  1000    405751    0.00    0.00    0.00    0.00    0.00     3  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.03    0.00    0.00    0.00    0.03     -  systemd-journal
Average:      111    405137    0.18    0.47    0.00    0.00    0.65     -  netdata
Average:      111    405507    0.07    0.07    0.00    0.00    0.15     -  bash
Average:      111    405530    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    405750    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    405751    0.00    0.00    0.00    0.00    0.00     -  sh
