Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

03:35:47 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:36:27 AM     0      1495    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
03:36:27 AM   111    403902    0.43    0.27    0.00    0.00    0.70     0  netdata
03:36:27 AM   111    404271    0.07    0.07    0.00    0.00    0.15     3  bash
03:36:27 AM   111    404292    0.00    0.00    0.00    0.00    0.00     2  otel-plugin
03:36:27 AM  1000    404513    0.20    0.00    0.00    0.00    0.20     2  ssh
03:36:27 AM  1000    404514    0.00    0.00    0.00    0.00    0.00     3  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111    403902    0.43    0.27    0.00    0.00    0.70     -  netdata
Average:      111    404271    0.07    0.07    0.00    0.00    0.15     -  bash
Average:      111    404292    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    404513    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    404514    0.00    0.00    0.00    0.00    0.00     -  sh
