Linux 6.8.12+ (sendai) 	11/13/2025 	_x86_64_	(6 CPU)

11:28:08 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:28:48 AM     0       660    0.07    0.12    0.00    0.00    0.20     4  systemd-journal
11:28:48 AM   111    708907    3.17    1.77    0.00    0.88    4.95     0  netdata
11:28:48 AM   111    709284    0.07    0.07    0.00    0.03    0.15     0  bash
11:28:48 AM   111    709303    0.03    0.03    0.00    0.00    0.05     0  debugfs.plugin
11:28:48 AM   111    709308    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
11:28:48 AM   111    709309    0.00    0.03    0.00    0.00    0.03     0  ebpf.plugin
11:28:48 AM   111    709312    0.27    0.78    0.00    0.00    1.05     0  apps.plugin
11:28:48 AM   111    709314    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
11:28:48 AM   111    709315    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
11:28:48 AM   111    709316    0.18    0.03    0.00    0.00    0.20     0  go.d.plugin
11:28:48 AM   111    709319    0.00    0.00    0.00    0.03    0.00     0  nfacct.plugin
11:28:48 AM  1000    709512    0.20    0.00    0.00    0.00    0.20     3  ssh
11:28:48 AM  1000    709513    0.00    0.00    0.00    0.00    0.00     3  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0       660    0.07    0.12    0.00    0.00    0.20     -  systemd-journal
Average:      111    708907    3.17    1.77    0.00    0.88    4.95     -  netdata
Average:      111    709284    0.07    0.07    0.00    0.03    0.15     -  bash
Average:      111    709303    0.03    0.03    0.00    0.00    0.05     -  debugfs.plugin
Average:      111    709308    0.00    0.00    0.00    0.00    0.00     -  NETWORK-VIEWER
Average:      111    709309    0.00    0.03    0.00    0.00    0.03     -  ebpf.plugin
Average:      111    709312    0.27    0.78    0.00    0.00    1.05     -  apps.plugin
Average:      111    709314    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:      111    709315    0.00    0.00    0.00    0.00    0.00     -  sd-jrnl.plugin
Average:      111    709316    0.18    0.03    0.00    0.00    0.20     -  go.d.plugin
Average:      111    709319    0.00    0.00    0.00    0.03    0.00     -  nfacct.plugin
Average:     1000    709512    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    709513    0.00    0.00    0.00    0.00    0.00     -  sh
