Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

03:26:07 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:26:47 AM     0      1495    0.00    0.00    0.00    0.00    0.00     0  systemd-journal
03:26:47 AM   111    391634   15.55    4.50    0.00    0.00   20.05     4  netdata
03:26:47 AM   111    392005    0.10    0.05    0.00    0.00    0.15     1  bash
03:26:47 AM   111    392024    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
03:26:47 AM  1000    392245    0.20    0.00    0.00    0.00    0.20     4  ssh
03:26:47 AM  1000    392246    0.00    0.00    0.00    0.00    0.00     5  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111    391634   15.55    4.50    0.00    0.00   20.05     -  netdata
Average:      111    392005    0.10    0.05    0.00    0.00    0.15     -  bash
Average:      111    392024    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    392245    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    392246    0.00    0.00    0.00    0.00    0.00     -  sh
