Linux 6.8.12+ (sendai) 	11/28/2025 	_x86_64_	(6 CPU)

04:35:51 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:36:31 PM     0      9965    0.03    0.00    0.00    0.00    0.03     4  systemd-journal
04:36:31 PM   111    298273   13.05    6.12    0.00    0.00   19.18     4  netdata
04:36:31 PM   111    298650    0.10    0.10    0.00    0.00    0.20     1  bash
04:36:31 PM   111    298664    0.07    0.07    0.00    0.00    0.15     2  go.d.plugin
04:36:31 PM   111    298669    0.00    0.00    0.00    0.00    0.00     3  otel-plugin
04:36:31 PM  1000    298851    0.20    0.00    0.00    0.00    0.20     0  ssh
04:36:31 PM  1000    298852    0.00    0.00    0.00    0.00    0.00     1  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.03    0.00    0.00    0.00    0.03     -  systemd-journal
Average:      111    298273   13.05    6.12    0.00    0.00   19.18     -  netdata
Average:      111    298650    0.10    0.10    0.00    0.00    0.20     -  bash
Average:      111    298664    0.07    0.07    0.00    0.00    0.15     -  go.d.plugin
Average:      111    298669    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    298851    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    298852    0.00    0.00    0.00    0.00    0.00     -  sh
