Linux 6.8.12+ (sendai) 	11/07/2025 	_x86_64_	(6 CPU)

01:30:43 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:30:50 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:30:51 AM     0   1946633    0.00    0.00    0.00    0.00    0.00     1  systemd-journal
01:30:51 AM  1000   2984323    0.00    0.00    0.00    0.00    0.00     1  batcat
01:30:51 AM   111   2985506    0.00    0.00    0.00    0.00    0.00     0  netdata
01:30:51 AM   111   2986019    0.00    0.00    0.00    0.00    0.00     0  bash
01:30:51 AM   111   2986040    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:30:51 AM   111   2986043    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:30:51 AM   111   2986045    0.00    1.00    0.00    0.00    1.00     0  apps.plugin
01:30:51 AM   111   2986049    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:30:51 AM   111   2986052    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:30:51 AM   111   2986054    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:30:51 AM   111   2986057    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:30:51 AM   111   2986067    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:30:51 AM  1000   2986251    0.00    0.00    0.00    0.00    0.00     5  ssh
01:30:51 AM  1000   2986252    0.00    0.00    0.00    0.00    0.00     4  sh

01:30:51 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:30:52 AM     0   1946633    0.00    1.00    0.00    0.00    1.00     0  systemd-journal
01:30:52 AM  1000   2984323    0.00    0.00    0.00    0.00    0.00     1  batcat
01:30:52 AM   111   2985506    1.00    1.00    0.00    0.00    2.00     0  netdata
01:30:52 AM   111   2986019    0.00    0.00    0.00    0.00    0.00     0  bash
01:30:52 AM   111   2986040    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:30:52 AM   111   2986043    1.00    0.00    0.00    0.00    1.00     0  go.d.plugin
01:30:52 AM   111   2986045    1.00    0.00    0.00    0.00    1.00     0  apps.plugin
01:30:52 AM   111   2986049    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:30:52 AM   111   2986052    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:30:52 AM   111   2986054    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:30:52 AM   111   2986057    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:30:52 AM   111   2986067    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:30:52 AM  1000   2986251    0.00    0.00    0.00    0.00    0.00     5  ssh
01:30:52 AM  1000   2986252    0.00    0.00    0.00    0.00    0.00     4  sh

01:30:52 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:30:53 AM     0   1946633    0.00    0.00    0.00    0.00    0.00     0  systemd-journal
01:30:53 AM  1000   2984323    0.00    0.00    0.00    0.00    0.00     1  batcat
01:30:53 AM   111   2985506    0.00    0.00    0.00    0.00    0.00     0  netdata
01:30:53 AM   111   2986019    0.00    0.00    0.00    0.00    0.00     0  bash
01:30:53 AM   111   2986040    0.00    0.00    0.00    0.00    0.00     0  sd-jrnl.plugin
01:30:53 AM   111   2986043    0.00    0.00    0.00    0.00    0.00     0  go.d.plugin
01:30:53 AM   111   2986045    0.00    0.00    0.00    0.00    0.00     0  apps.plugin
01:30:53 AM   111   2986049    0.00    0.00    0.00    0.00    0.00     0  debugfs.plugin
01:30:53 AM   111   2986052    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
01:30:53 AM   111   2986054    0.00    0.00    0.00    0.00    0.00     0  NETWORK-VIEWER
01:30:53 AM   111   2986057    0.00    0.00    0.00    0.00    0.00     0  nfacct.plugin
01:30:53 AM   111   2986067    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
01:30:53 AM  1000   2986251    0.00    0.00    0.00    0.00    0.00     5  ssh
01:30:53 AM  1000   2986252    0.00    0.00    0.00    0.00    0.00     4  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0   1946633    0.00    0.10    0.00    0.00    0.10     -  systemd-journal
Average:     1000   2984323    0.00    0.00    0.00    0.00    0.00     -  batcat
Average:      111   2985506    2.30    3.20    0.00    0.00    5.50     -  netdata
Average:      111   2986019    0.00    0.10    0.00    0.10    0.10     -  bash
Average:      111   2986040    0.00    0.00    0.00    0.00    0.00     -  sd-jrnl.plugin
Average:      111   2986043    0.20    0.00    0.00    0.00    0.20     -  go.d.plugin
Average:      111   2986045    0.40    0.40    0.00    0.00    0.80     -  apps.plugin
Average:      111   2986049    0.00    0.00    0.00    0.00    0.00     -  debugfs.plugin
Average:      111   2986052    0.00    0.00    0.00    0.00    0.00     -  ebpf.plugin
Average:      111   2986054    0.00    0.00    0.00    0.00    0.00     -  NETWORK-VIEWER
Average:      111   2986057    0.00    0.00    0.00    0.00    0.00     -  nfacct.plugin
Average:      111   2986067    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000   2986251    0.80    0.00    0.00    0.00    0.80     -  ssh
Average:     1000   2986252    0.00    0.00    0.00    0.00    0.00     -  sh
