Linux 6.8.12+ (sendai) 	11/13/2025 	_x86_64_	(6 CPU)

11:31:35 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:32:15 AM     0       660    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
11:32:15 AM   111    713339    2.80    2.02    0.00    0.60    4.83     0  netdata
11:32:15 AM   111    713716    0.05    0.15    0.00    0.03    0.20     0  bash
11:32:15 AM   111    713735    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
11:32:15 AM   111    713736    0.00    0.00    0.00    0.03    0.00     0  sd-jrnl.plugin
11:32:15 AM   111    713737    0.00    0.00    0.00    0.05    0.00     0  NETWORK-VIEWER
11:32:15 AM   111    713738    0.00    0.00    0.00    0.00    0.00     0  ebpf.plugin
11:32:15 AM   111    713740    0.00    0.05    0.00    0.03    0.05     0  debugfs.plugin
11:32:15 AM   111    713745    0.18    0.83    0.00    0.05    1.00     0  apps.plugin
11:32:15 AM   111    713748    0.07    0.03    0.00    0.00    0.10     0  go.d.plugin
11:32:15 AM   111    713752    0.00    0.00    0.00    0.03    0.00     0  nfacct.plugin
11:32:15 AM  1000    713936    0.18    0.00    0.00    0.00    0.18     3  ssh
11:32:15 AM  1000    713937    0.00    0.00    0.00    0.00    0.00     4  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0       660    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111    713339    2.80    2.02    0.00    0.60    4.83     -  netdata
Average:      111    713716    0.05    0.15    0.00    0.03    0.20     -  bash
Average:      111    713735    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:      111    713736    0.00    0.00    0.00    0.03    0.00     -  sd-jrnl.plugin
Average:      111    713737    0.00    0.00    0.00    0.05    0.00     -  NETWORK-VIEWER
Average:      111    713738    0.00    0.00    0.00    0.00    0.00     -  ebpf.plugin
Average:      111    713740    0.00    0.05    0.00    0.03    0.05     -  debugfs.plugin
Average:      111    713745    0.18    0.83    0.00    0.05    1.00     -  apps.plugin
Average:      111    713748    0.07    0.03    0.00    0.00    0.10     -  go.d.plugin
Average:      111    713752    0.00    0.00    0.00    0.03    0.00     -  nfacct.plugin
Average:     1000    713936    0.18    0.00    0.00    0.00    0.18     -  ssh
Average:     1000    713937    0.00    0.00    0.00    0.00    0.00     -  sh
