Linux 6.8.12+ (sendai) 	11/28/2025 	_x86_64_	(6 CPU)

03:19:37 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:20:17 PM     0      9965    0.00    0.03    0.00    0.00    0.03     5  systemd-journal
03:20:17 PM   111    226716    1.12    1.38    0.00    0.00    2.50     0  netdata
03:20:17 PM   111    227089    0.10    0.07    0.00    0.00    0.18     2  bash
03:20:17 PM   111    227113    0.00    0.00    0.00    0.00    0.00     1  otel-plugin
03:20:17 PM  1000    227262    0.18    0.00    0.00    0.00    0.18     0  ssh
03:20:17 PM  1000    227263    0.00    0.00    0.00    0.00    0.00     2  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    226716    1.12    1.38    0.00    0.00    2.50     -  netdata
Average:      111    227089    0.10    0.07    0.00    0.00    0.18     -  bash
Average:      111    227113    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    227262    0.18    0.00    0.00    0.00    0.18     -  ssh
Average:     1000    227263    0.00    0.00    0.00    0.00    0.00     -  sh
