Linux 6.8.12+ (sendai) 	11/28/2025 	_x86_64_	(6 CPU)

04:31:28 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:32:08 PM     0      9965    0.00    0.03    0.00    0.00    0.03     3  systemd-journal
04:32:08 PM   111    291909    1.68    1.38    0.00    0.00    3.05     0  netdata
04:32:08 PM   111    292292    0.10    0.07    0.00    0.00    0.18     0  bash
04:32:08 PM   111    292313    0.12    0.03    0.00    0.00    0.15     4  go.d.plugin
04:32:08 PM   111    292317    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
04:32:08 PM  1000    292497    0.20    0.00    0.00    0.00    0.20     1  ssh
04:32:08 PM  1000    292498    0.00    0.00    0.00    0.00    0.00     0  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    291909    1.68    1.38    0.00    0.00    3.05     -  netdata
Average:      111    292292    0.10    0.07    0.00    0.00    0.18     -  bash
Average:      111    292313    0.12    0.03    0.00    0.00    0.15     -  go.d.plugin
Average:      111    292317    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    292497    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    292498    0.00    0.00    0.00    0.00    0.00     -  sh
