Linux 6.8.12+ (sendai) 	11/28/2025 	_x86_64_	(6 CPU)

04:33:13 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:33:53 PM     0      9965    0.00    0.03    0.00    0.00    0.03     3  systemd-journal
04:33:53 PM   111    294569   12.78    5.73    0.00    0.00   18.50     0  netdata
04:33:53 PM   111    294942    0.05    0.10    0.00    0.00    0.15     1  bash
04:33:53 PM   111    294964    0.12    0.05    0.00    0.00    0.18     0  go.d.plugin
04:33:53 PM   111    294968    0.00    0.00    0.00    0.00    0.00     2  otel-plugin
04:33:53 PM  1000    295147    0.20    0.00    0.00    0.00    0.20     2  ssh
04:33:53 PM  1000    295148    0.00    0.00    0.00    0.00    0.00     4  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    294569   12.78    5.73    0.00    0.00   18.50     -  netdata
Average:      111    294942    0.05    0.10    0.00    0.00    0.15     -  bash
Average:      111    294964    0.12    0.05    0.00    0.00    0.18     -  go.d.plugin
Average:      111    294968    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    295147    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    295148    0.00    0.00    0.00    0.00    0.00     -  sh
