Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

03:30:57 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:31:37 AM     0      1495    0.03    0.00    0.00    0.00    0.03     3  systemd-journal
03:31:37 AM   111    397739    0.35    0.33    0.00    0.00    0.68     4  netdata
03:31:37 AM   111    398108    0.07    0.10    0.00    0.00    0.18     2  bash
03:31:37 AM   111    398128    0.00    0.00    0.00    0.00    0.00     3  otel-plugin
03:31:37 AM  1000    398360    0.18    0.00    0.00    0.00    0.18     4  ssh
03:31:37 AM  1000    398361    0.00    0.00    0.00    0.00    0.00     5  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.03    0.00    0.00    0.00    0.03     -  systemd-journal
Average:      111    397739    0.35    0.33    0.00    0.00    0.68     -  netdata
Average:      111    398108    0.07    0.10    0.00    0.00    0.18     -  bash
Average:      111    398128    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    398360    0.18    0.00    0.00    0.00    0.18     -  ssh
Average:     1000    398361    0.00    0.00    0.00    0.00    0.00     -  sh
