Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

02:43:51 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:44:31 AM     0      1495    0.00    0.00    0.00    0.00    0.00     0  systemd-journal
02:44:31 AM   111    345030    0.27    0.50    0.00    0.00    0.78     4  netdata
02:44:31 AM   111    345399    0.10    0.07    0.00    0.00    0.18     3  bash
02:44:31 AM   111    345420    0.12    0.00    0.00    0.00    0.12     3  go.d.plugin
02:44:31 AM   111    345425    0.00    0.00    0.00    0.00    0.00     4  otel-plugin
02:44:31 AM  1000    345699    0.00    0.00    0.00    0.00    0.00     2  ssh
02:44:31 AM  1000    346147    0.00    0.00    0.00    0.00    0.00     1  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111    345030    0.27    0.50    0.00    0.00    0.78     -  netdata
Average:      111    345399    0.10    0.07    0.00    0.00    0.18     -  bash
Average:      111    345420    0.12    0.00    0.00    0.00    0.12     -  go.d.plugin
Average:      111    345425    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    345699    0.00    0.00    0.00    0.00    0.00     -  ssh
Average:     1000    346147    0.00    0.00    0.00    0.00    0.00     -  sh
