Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

03:18:56 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:19:36 PM     0     12006    0.00    0.00    0.00    0.00    0.00     1  systemd-journal
03:19:36 PM   111   1800654    0.30    0.50    0.00    0.00    0.80     0  netdata
03:19:36 PM   111   1801032    0.07    0.10    0.00    0.00    0.18     0  bash
03:19:36 PM   111   1801051    0.00    0.00    0.00    0.00    0.00     4  otel-plugin
03:19:36 PM   111   1801053    0.15    0.03    0.00    0.00    0.18     0  go.d.plugin
03:19:36 PM  1000   1801344    0.00    0.00    0.00    0.00    0.00     3  ssh
03:19:36 PM  1000   1801819    0.00    0.00    0.00    0.00    0.00     2  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0     12006    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111   1800654    0.30    0.50    0.00    0.00    0.80     -  netdata
Average:      111   1801032    0.07    0.10    0.00    0.00    0.18     -  bash
Average:      111   1801051    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:      111   1801053    0.15    0.03    0.00    0.00    0.18     -  go.d.plugin
Average:     1000   1801344    0.00    0.00    0.00    0.00    0.00     -  ssh
Average:     1000   1801819    0.00    0.00    0.00    0.00    0.00     -  sh
