Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

03:17:18 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:17:58 PM     0     12006    0.00    0.00    0.00    0.00    0.00     4  systemd-journal
03:17:58 PM   111   1798956    0.40    0.25    0.00    0.00    0.65     1  netdata
03:17:58 PM   111   1799328    0.05    0.12    0.00    0.00    0.18     4  bash
03:17:58 PM   111   1799350    0.00    0.00    0.00    0.00    0.00     2  otel-plugin
03:17:58 PM  1000   1799569    0.15    0.00    0.00    0.00    0.15     4  ssh
03:17:58 PM  1000   1799570    0.00    0.00    0.00    0.00    0.00     0  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0     12006    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111   1798956    0.40    0.25    0.00    0.00    0.65     -  netdata
Average:      111   1799328    0.05    0.12    0.00    0.00    0.18     -  bash
Average:      111   1799350    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000   1799569    0.15    0.00    0.00    0.00    0.15     -  ssh
Average:     1000   1799570    0.00    0.00    0.00    0.00    0.00     -  sh
