Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

03:20:21 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:21:01 AM     0      1495    0.00    0.03    0.00    0.00    0.03     5  systemd-journal
03:21:01 AM   111    384385   14.65    5.50    0.00    0.00   20.15     4  netdata
03:21:01 AM   111    384757    0.07    0.07    0.00    0.00    0.15     2  bash
03:21:01 AM   111    384777    0.00    0.00    0.00    0.00    0.00     0  otel-plugin
03:21:01 AM  1000    384996    0.20    0.00    0.00    0.00    0.20     5  ssh
03:21:01 AM  1000    384997    0.00    0.00    0.00    0.00    0.00     4  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    384385   14.65    5.50    0.00    0.00   20.15     -  netdata
Average:      111    384757    0.07    0.07    0.00    0.00    0.15     -  bash
Average:      111    384777    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    384996    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    384997    0.00    0.00    0.00    0.00    0.00     -  sh
