Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

03:19:23 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:20:03 AM     0      1495    0.00    0.03    0.00    0.00    0.03     5  systemd-journal
03:20:03 AM   111    383191    0.50    0.15    0.00    0.00    0.65     2  netdata
03:20:03 AM   111    383559    0.05    0.12    0.00    0.00    0.18     0  bash
03:20:03 AM   111    383584    0.00    0.00    0.00    0.00    0.00     4  otel-plugin
03:20:03 AM  1000    383802    0.20    0.00    0.00    0.00    0.20     0  ssh
03:20:03 AM  1000    383803    0.00    0.00    0.00    0.00    0.00     4  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.03    0.00    0.00    0.03     -  systemd-journal
Average:      111    383191    0.50    0.15    0.00    0.00    0.65     -  netdata
Average:      111    383559    0.05    0.12    0.00    0.00    0.18     -  bash
Average:      111    383584    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    383802    0.20    0.00    0.00    0.00    0.20     -  ssh
Average:     1000    383803    0.00    0.00    0.00    0.00    0.00     -  sh
