Linux 6.8.12+ (sendai) 	12/08/2025 	_x86_64_	(6 CPU)

02:25:51 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:26:31 AM     0      1495    0.00    0.00    0.00    0.00    0.00     0  systemd-journal
02:26:31 AM   111    327289    0.50    0.27    0.00    0.00    0.78     0  netdata
02:26:31 AM   111    327658    0.07    0.10    0.00    0.00    0.18     4  bash
02:26:31 AM   111    327679    0.10    0.03    0.00    0.00    0.12     0  go.d.plugin
02:26:31 AM   111    327685    0.00    0.00    0.00    0.00    0.00     1  otel-plugin
02:26:31 AM  1000    327935    0.00    0.00    0.00    0.00    0.00     0  ssh
02:26:31 AM  1000    328386    0.00    0.00    0.00    0.00    0.00     0  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111    327289    0.50    0.27    0.00    0.00    0.78     -  netdata
Average:      111    327658    0.07    0.10    0.00    0.00    0.18     -  bash
Average:      111    327679    0.10    0.03    0.00    0.00    0.12     -  go.d.plugin
Average:      111    327685    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    327935    0.00    0.00    0.00    0.00    0.00     -  ssh
Average:     1000    328386    0.00    0.00    0.00    0.00    0.00     -  sh
