Linux 6.8.12+ (sendai) 	11/07/2025 	_x86_64_	(6 CPU)

12:35:38 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:36:18 AM     0   1946633    0.05    0.22    0.00    0.00    0.27     5  systemd-journal
12:36:18 AM   111   2924276    3.28    2.10    0.00    0.68    5.38     0  netdata
12:36:18 AM  1000   2924277    0.18    0.03    0.00    0.00    0.20     2  ssh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0   1946633    0.05    0.22    0.00    0.00    0.27     -  systemd-journal
Average:      111   2924276    3.28    2.10    0.00    0.68    5.38     -  netdata
Average:     1000   2924277    0.18    0.03    0.00    0.00    0.20     -  ssh
