Linux 6.8.12+ (sendai) 	11/28/2025 	_x86_64_	(6 CPU)

04:44:39 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:45:19 PM     0      9965    0.00    0.00    0.00    0.00    0.00     3  systemd-journal
04:45:19 PM   111    310865    2.15    1.60    0.00    0.00    3.75     1  netdata
04:45:19 PM   111    311236    0.10    0.07    0.00    0.00    0.18     1  bash
04:45:19 PM   111    311259    0.12    0.07    0.00    0.00    0.20     0  go.d.plugin
04:45:19 PM   111    311261    0.00    0.00    0.00    0.00    0.00     1  otel-plugin
04:45:19 PM  1000    311444    0.18    0.00    0.00    0.00    0.18     2  ssh
04:45:19 PM  1000    311445    0.00    0.00    0.00    0.00    0.00     2  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      9965    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111    310865    2.15    1.60    0.00    0.00    3.75     -  netdata
Average:      111    311236    0.10    0.07    0.00    0.00    0.18     -  bash
Average:      111    311259    0.12    0.07    0.00    0.00    0.20     -  go.d.plugin
Average:      111    311261    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:     1000    311444    0.18    0.00    0.00    0.00    0.18     -  ssh
Average:     1000    311445    0.00    0.00    0.00    0.00    0.00     -  sh
