Linux 6.8.12+ (sendai) 	12/07/2025 	_x86_64_	(6 CPU)

08:13:18 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:13:58 PM     0      1495    0.00    0.00    0.00    0.00    0.00     3  systemd-journal
08:13:58 PM   111     56498    0.45    0.33    0.00    0.00    0.78     3  netdata
08:13:58 PM   111     56874    0.05    0.10    0.00    0.00    0.15     4  bash
08:13:58 PM   111     56892    0.00    0.00    0.00    0.00    0.00     1  otel-plugin
08:13:58 PM   111     56895    0.10    0.05    0.00    0.00    0.15     0  go.d.plugin
08:13:58 PM  1000     57148    0.00    0.00    0.00    0.00    0.00     1  ssh
08:13:58 PM  1000     57623    0.00    0.00    0.00    0.00    0.00     2  sh

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      1495    0.00    0.00    0.00    0.00    0.00     -  systemd-journal
Average:      111     56498    0.45    0.33    0.00    0.00    0.78     -  netdata
Average:      111     56874    0.05    0.10    0.00    0.00    0.15     -  bash
Average:      111     56892    0.00    0.00    0.00    0.00    0.00     -  otel-plugin
Average:      111     56895    0.10    0.05    0.00    0.00    0.15     -  go.d.plugin
Average:     1000     57148    0.00    0.00    0.00    0.00    0.00     -  ssh
Average:     1000     57623    0.00    0.00    0.00    0.00    0.00     -  sh
